elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high	event_max	event_oom	event_oom_kill	swap_event_max	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
40.6	75325288448	44063313920	11431936	0	3309568	49986437120	51802677248	88046829568	83751862272	33765425152	7071461376	42611990528	38370615296	7446528	0	0	4294967296	0	0	0	0	0	0.0	6	0	0	2	7	0
41.6	78454108160	40502710272	6955008	0	3309568	42938265600	51802677248	88046829568	83751862272	40813596672	3599261696	39051423744	34849202176	2756608	0	0	4294967296	0	0	0	0	0	0.0	6	0	0	2	8	0
42.6	76160311296	44063010816	7274496	0	3309568	49936023552	51802677248	88046829568	83751862272	33815838720	7021854720	42611855360	38391803904	2756608	0	0	4294967296	0	0	0	0	0	0.0	6	0	0	2	8	0
43.6	75684663296	45875146752	527372288	8388608	3309568	51797557248	51802677248	88046829568	83751862272	31954305024	7021858816	44423917568	38391803904	522850304	8388608	0	4294967296	0	0	0	0	0	0.0	7	0	0	2	8	0
44.6	78307225600	42274664448	7344128	0	3309568	46351953920	51802677248	88046829568	83751862272	37399908352	5234925568	40825868288	36583702528	2809856	0	0	4294967296	0	0	0	0	0	0.0	7	0	0	2	9	0
45.7	75402289152	44063596544	7499776	0	3313664	50829623296	51802677248	88046829568	83751862272	32922238976	7897149440	42612355072	38370615296	2945024	0	0	4294967296	0	0	0	0	0	0.0	15	0	0	2	9	0
46.7	79770390528	40504336384	5459968	0	3313664	42938761216	51802677248	88046829568	83751862272	40813101056	3599462400	39051788288	37974171648	790528	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	10	0
47.7	76570103808	44064374784	5697536	0	3313664	49936183296	51802677248	88046829568	83751862272	33815678976	7022080000	42612211712	38391742464	790528	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	10	0
48.8	76079673344	45876768768	777449472	8388608	3313664	51798298624	51802677248	88046829568	83751862272	31953563648	7022080000	44424249344	38391742464	772542464	8388608	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	10	0
49.8	78378029056	42262925312	5767168	0	3313664	46324998144	51802677248	88046829568	83751862272	37426864128	5220413440	40813154304	36569063424	843776	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	11	0
50.8	75351093248	44065234944	5775360	0	3313664	51108184064	51802677248	88046829568	83751862272	32643678208	8165998592	42612723712	38370615296	843776	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	11	0
51.8	79258775552	40504201216	5824512	0	3313664	42939654144	51802677248	88046829568	83751862272	40812208128	3599663104	39052152832	37354008576	897024	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	12	0
52.9	76360691712	44065026048	5828608	0	3313664	49937207296	51802677248	88046829568	83751862272	33814654976	7022297088	42612576256	38391742464	897024	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	12	0
53.9	75876065280	45877022720	710479872	8388608	3313664	51798532096	51802677248	88046829568	83751862272	31953330176	7022301184	44424626176	38391742464	705540096	8388608	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	12	0
54.9	78269706240	42226458624	5898240	0	3313664	46255300608	51802677248	88046829568	83751862272	37496561664	5185757184	40777609216	36534124544	950272	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	13	0
55.9	75299463168	44065488896	5902336	0	3313664	51147669504	51802677248	88046829568	83751862272	32604192768	8230367232	42613088256	38370615296	954368	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	13	0
56.9	79155712000	40504496128	5951488	0	3313664	42939228160	51802677248	88046829568	83751862272	40812634112	3599835136	39052120064	38400761856	995328	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	14	0
57.9	76355260416	44051030016	6836224	0	3313664	49870454784	51802677248	88046829568	83751862272	33881407488	6987407360	42579038208	38356709376	995328	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	14	0
59.0	75699580928	46211645440	1390403584	8388608	3313664	51796926464	51802677248	88046829568	83751862272	31954935808	7022522368	44424916992	38391742464	1384464384	8388608	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	14	0
60.0	78136778752	42427817984	7147520	0	3313664	45741711360	51802677248	88046829568	83751862272	38010150912	4928630784	40520691712	36276731904	401408	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	15	0
61.0	75093340160	44580708352	6127616	0	3313664	50645307392	51802677248	88046829568	83751862272	33106554880	7730057216	42613452800	38370615296	401408	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	15	0
62.0	79040913408	43074510848	6492160	0	3313664	44993323008	51802677248	88046829568	83751862272	38758539264	3600064512	41105272832	38400761856	458752	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	16	0
63.0	76471930880	43978452992	6488064	0	3313664	48737300480	51802677248	88046829568	83751862272	35014561792	6421884928	42015191040	37791002624	458752	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	16	0
