elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high_delta	event_max_delta	event_oom_delta	event_oom_kill_delta	swap_event_max_delta	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
41.6	107222818816	13020409856	282361856	538968064	0	22380621824	22386843648	107374182400	103079215104	84993560576	10450075648	11674296320	4032430080	277147648	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	4	0
42.6	106884366336	11204284416	1612484608	0	0	20516990976	22386843648	107374182400	103079215104	86857191424	10450075648	9858162688	4032430080	1606963200	0	0	0	0	0	0	0	0	0.0	0	0	0	2	5	0
43.6	110454980608	6771453952	8183808	0	0	13196677120	22386843648	107374182400	103079215104	94177505280	7623692288	5427490816	1184960512	2641920	0	0	0	0	0	0	0	0	0.0	0	0	0	2	5	0
44.7	107729293312	9598144512	8249344	0	0	18864529408	22386843648	107374182400	103079215104	88509652992	10450075648	8252071936	4011241472	2641920	0	0	0	0	0	0	0	0	0.0	0	0	0	2	5	0
45.7	106248032256	10829234176	1237180416	0	0	20131581952	22386843648	107374182400	103079215104	87242600448	10450075648	9483100160	4011241472	1233670144	0	0	0	0	0	0	0	0	0.0	0	0	0	2	5	0
46.7	106265022464	13020766208	750592000	404750336	0	22380568576	22386843648	107374182400	103079215104	84993613824	10450075648	11674624000	4011241472	744984576	404750336	0	0	0	0	0	0	0	0.0	0	0	0	2	5	0
47.7	105686884352	9598222336	6164480	0	0	19446075392	22386843648	107374182400	103079215104	87928107008	11029708800	8252071936	4011241472	540672	0	0	0	0	0	0	0	0	0.0	0	0	0	2	6	0
48.7	106079248384	11410292736	6209536	402653184	0	20725796864	22386843648	107374182400	103079215104	86648385536	10450075648	10064011264	4011241472	540672	402653184	0	0	0	0	0	0	0	0.0	0	0	0	2	6	0
49.7	109232508928	7395844096	6213632	0	0	14449172480	22386843648	107374182400	103079215104	92925009920	8248623104	6051082240	1831047168	540672	0	0	0	0	0	0	0	0	0.0	0	0	0	2	6	0
50.7	107153977344	9598078976	6815744	0	0	19384397824	22386843648	107374182400	103079215104	87989784576	10968096768	8251752448	4032442368	540672	0	0	0	0	0	0	0	0	0.0	0	0	0	2	6	0
51.8	106932387840	12571975680	2973143040	348160	0	21920419840	22386843648	107374182400	103079215104	85453762560	10450075648	11225513984	4032430080	2972061696	0	0	0	0	0	0	0	0	0.0	0	0	0	2	6	0
52.8	106918912000	13020766208	1081991168	1075838976	0	22379343872	22386843648	107374182400	103079215104	84994838528	10450075648	11674304512	4032430080	1080430592	1075838976	0	0	0	0	0	0	0	0.0	0	0	0	2	6	0
53.8	106462613504	9598222336	3162112	0	0	19123916800	22386843648	107374182400	103079215104	88250265600	10709864448	8251752448	4032430080	397312	0	0	0	0	0	0	0	0	0.0	0	0	0	2	7	0
54.8	106720096256	11410165760	739463168	538968064	0	20724051968	22386843648	107374182400	103079215104	86650130432	10450075648	10063691776	4032430080	736497664	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	7	0
55.8	110867984384	6058786816	3698688	0	0	11886710784	22386843648	107374182400	103079215104	95487471616	7027507200	4712579072	2605416448	397312	0	0	0	0	0	0	0	0	0.0	0	0	0	2	7	0
56.8	107947950080	9565511680	3837952	0	0	18804719616	22386843648	107374182400	103079215104	88569462784	10418896896	8221724672	3980169216	397312	0	0	0	0	0	0	0	0	0.0	0	0	0	2	7	0
57.8	106467373056	9598554112	3780608	0	0	19567702016	22386843648	107374182400	103079215104	87806480384	11151171584	8252080128	4011241472	389120	0	0	0	0	0	0	0	0	0.0	0	0	0	2	7	0
58.9	106574442496	13021143040	2350510080	538968064	0	22380707840	22386843648	107374182400	103079215104	84993474560	10450075648	11674632192	4011241472	2347102208	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	7	0
59.9	106572197888	13021147136	480161792	538968064	0	22380261376	22386843648	107374182400	103079215104	84993921024	10450075648	11674632192	4011241472	476446720	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	7	0
60.9	105696542720	10420682752	824098816	0	0	19711062016	22386843648	107374182400	103079215104	87663120384	10450075648	9074163712	4011241472	822476800	0	0	0	0	0	0	0	0	0.0	0	0	0	2	8	0
61.9	105697988608	11410538496	4407296	536870912	0	20724482048	22386843648	107374182400	103079215104	86649700352	10450075648	10064019456	4011241472	4096	536870912	0	0	0	0	0	0	0	0.0	0	0	0	2	8	0
62.9	108176412672	7544889344	5910528	0	0	14734835712	22386843648	107374182400	103079215104	92639346688	8390684672	6193668096	1973149696	4096	0	0	0	0	0	0	0	0	0.0	0	0	0	2	8	0
